序号	代码	名称	相关链接	最新价	涨跌幅	涨跌额	成交量(手)	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率(动态)	市净率
1	300786	N国林	股吧 资金流 数据	37.47	44.00%	11.45	204	76.00万	24.02%	37.47	31.22	31.22	26.02	-	0.15%	31.77	2.76
2	002447	晨鑫科技	股吧 资金流 数据	3.47	10.16%	0.32	86.58万	2.93亿	11.75%	3.47	3.10	3.13	3.15	2	6.41%	102.85	3.06
3	600470	六国化工	股吧 资金流 数据	5.01	10.11%	0.46	38.23万	1.81亿	12.31%	5.01	4.45	4.54	4.55	1	7.33%	-12.08	1.89
4	300165	天瑞仪器	股吧 资金流 数据	6.22	10.09%	0.57	22.31万	1.36亿	9.91%	6.22	5.66	5.74	5.65	1	7.06%	37.66	1.79
5	002617	露笑科技	股吧 资金流 数据	5.79	10.08%	0.53	42.90万	2.39亿	10.08%	5.79	5.26	5.35	5.26	1	4.03%	79.19	2.79
6	002538	司尔特	股吧 资金流 数据	5.90	10.07%	0.54	45.51万	2.61亿	9.89%	5.90	5.37	5.41	5.36	1	6.52%	24.60	1.21
7	002660	茂硕电源	股吧 资金流 数据	7.66	10.06%	0.70	16.69万	1.26亿	10.06%	7.66	6.96	6.96	6.96	4	8.12%	-684.26	3.79
8	002724	海洋王	股吧 资金流 数据	6.68	10.05%	0.61	15.54万	9904.75万	11.20%	6.68	6.00	6.03	6.07	2	4.68%	57.14	2.60
9	600605	汇通能源	股吧 资金流 数据	11.94	10.05%	1.09	3.87万	4626.04万	0.00%	11.94	11.94	11.94	10.85	9	2.63%	-81.47	2.57
10	000622	恒立实业	股吧 资金流 数据	5.04	10.04%	0.46	10.62万	5351.53万	0.00%	5.04	5.04	5.04	4.58	2	2.50%	-350.72	11.33
11	002169	智光电气	股吧 资金流 数据	6.03	10.04%	0.55	39.32万	2.32亿	12.41%	6.03	5.35	5.40	5.48	2	5.23%	158.30	1.73
12	000803	金宇车城	股吧 资金流 数据	15.13	10.04%	1.38	6676	970.94万	11.49%	15.13	13.55	14.19	13.75	2	0.52%	-28.42	27.85
13	002119	康强电子	股吧 资金流 数据	13.82	10.03%	1.26	51.04万	6.86亿	8.84%	13.82	12.71	12.71	12.56	1	13.89%	49.56	6.28
14	300585	奥联电子	股吧 资金流 数据	15.03	10.03%	1.37	6.50万	9440.03万	10.25%	15.03	13.63	13.87	13.66	1	7.85%	115.89	5.20
15	603266	天龙股份	股吧 资金流 数据	12.40	10.03%	1.13	5.27万	6385.27万	10.47%	12.40	11.22	11.28	11.27	2	10.75%	54.01	2.91
16	300589	江龙船艇	股吧 资金流 数据	13.28	10.02%	1.21	4.12万	5307.27万	10.52%	13.28	12.01	12.01	12.07	1	6.86%	524.63	8.11
17	603227	雪峰科技	股吧 资金流 数据	4.61	10.02%	0.42	28.12万	1.25亿	8.59%	4.61	4.25	4.28	4.19	4	4.27%	-38.15	2.65
18	603738	泰晶科技	股吧 资金流 数据	19.55	10.02%	1.78	20.14万	3.87亿	8.72%	19.55	18.00	18.00	17.77	2	32.13%	-671.58	5.49
19	002529	海源复材	股吧 资金流 数据	7.14	10.02%	0.65	2.34万	1615.32万	10.63%	7.14	6.45	6.55	6.49	1	0.90%	-59.15	1.33
20	002835	同为股份	股吧 资金流 数据	9.78	10.01%	0.89	5.30万	5122.62万	9.45%	9.78	8.94	8.98	8.89	2	6.28%	-69.79	3.35
